CASEID,PSU,CASENO,CASENUMBER,CATEGORY,EVENTNO,VEHNUM,CLASS1,GAD1,CLASS2,GAD2
6447,23,15,1-23-2017-015-10,10,2,1,4,F,0,0
6449,22,19,1-22-2017-019-03,3,1,1,68,R,2,L
6445,13,15,1-13-2017-015-03,3,1,1,4,F,2,B
6445,13,15,1-13-2017-015-03,3,2,2,2,F,4,B
6451,33,14,1-33-2017-014-03,3,1,1,31,L,0,0
6451,33,14,1-33-2017-014-03,3,2,1,31,R,0,0
6452,33,15,1-33-2017-015-03,3,1,1,1,F,4,B
6439,19,23,1-19-2017-023-05,5,1,1,31,F,2,B
6440,19,24,1-19-2017-024-08,8,1,1,31,L,2,F
6440,19,24,1-19-2017-024-08,8,2,1,31,T,0,N
6450,18,9,1-18-2017-009-06,6,1,1,3,B,14,F
6448,22,18,1-22-2017-018-06,6,1,1,3,F,1,F
6444,13,14,1-13-2017-014-02,2,1,1,21,F,31,F
6444,13,14,1-13-2017-014-02,2,2,2,31,L,0,0
6455,20,16,1-20-2017-016-06,6,1,1,4,F,0,0
6455,20,16,1-20-2017-016-06,6,2,1,4,F,0,0
6455,20,16,1-20-2017-016-06,6,3,1,4,R,0,0
6456,15,9,1-15-2017-009-03,3,1,1,3,L,78,R
6457,26,9,1-26-2017-009-09,9,1,1,4,L,39,F
6459,29,7,1-29-2017-007-04,4,1,1,4,F,3,R
6458,20,15,1-20-2017-015-10,10,1,1,30,9,0,N
6424,11,4,1-11-2017-004-03,3,1,1,3,F,2,B
6424,11,4,1-11-2017-004-03,3,2,2,2,F,99,B
6462,14,10,1-14-2017-010-07,7,1,1,80,F,4,F
6462,14,10,1-14-2017-010-07,7,2,2,4,F,0,0
6465,30,19,1-30-2017-019-07,7,1,1,2,F,5,F
6464,24,18,1-24-2017-018-10,10,1,1,30,F,9,B
6466,30,20,1-30-2017-020-03,3,1,1,30,F,2,B
6327,20,9,1-20-2017-009-03,3,1,1,9,F,3,L
6429,28,8,1-28-2017-008-01,1,1,1,14,F,0,0
6429,28,8,1-28-2017-008-01,1,2,1,14,R,0,N
6475,12,10,1-12-2017-010-02,2,1,1,3,L,4,R
6474,24,20,1-24-2017-020-02,2,1,1,3,F,3,L
6474,24,20,1-24-2017-020-02,2,3,1,3,F,0,0
6474,24,20,1-24-2017-020-02,2,4,1,3,F,0,0
6474,24,20,1-24-2017-020-02,2,2,1,3,R,3,L
6473,24,19,1-24-2017-019-02,2,1,1,3,L,3,L
6473,24,19,1-24-2017-019-02,2,2,2,3,R,0,0
6477,14,11,1-14-2017-011-02,2,1,1,3,F,14,L
6477,14,11,1-14-2017-011-02,2,2,2,14,R,20,F
6483,32,17,1-32-2017-017-06,6,1,1,3,F,2,B
6483,32,17,1-32-2017-017-06,6,2,2,2,L,0,N
6484,32,18,1-32-2017-018-10,10,1,1,21,L,2,F
6485,23,17,1-23-2017-017-04,4,1,2,3,F,20,L
6486,16,18,1-16-2017-018-05,5,1,1,2,F,0,0
6487,16,19,1-16-2017-019-07,7,1,1,4,L,3,L
6489,27,2,1-27-2017-002-03,3,1,1,3,F,0,0
6489,27,2,1-27-2017-002-03,3,2,1,3,F,0,0
6495,21,9,1-21-2017-009-03,3,1,1,2,F,3,B
6499,29,8,1-29-2017-008-06,6,1,1,31,F,0,0
